timestamp,theta_pot,theta_enc,w_user,w_meas,u_pwm,force_filt,tau_ext,w_adm
1763636032.1725695,0.65,0.25234,0.0,0.0,158.0,0.004,-0.00036,0.40232
1763636032.1725695,0.65,0.25234,0.0,0.0,158.1,0.006,-0.00054,0.40442
1763636032.1725695,0.91,0.25234,0.0,0.0,158.2,-0.0032,0.00029,0.40904
1763636032.1725695,0.91,0.25234,0.0,0.0,158.2,0.0054,-0.00049,0.41058
1763636032.2821448,0.65,0.25234,0.0,0.0,158.1,0.0042,-0.00038,0.40483
1763636032.2821448,0.91,0.25234,0.0,0.0,147.6,0.0058,-0.00053,0.0
1763636032.47015,0.65,0.25234,0.0,0.0,150.0,-0.0046,0.00041,0.0
1763636032.47015,0.65,0.25234,0.0,0.0,150.0,-0.0028,0.00025,0.0
1763636032.7217052,0.65,0.25234,0.0,0.0,150.0,0.0073,-0.00066,0.0
1763636032.7217052,0.91,0.25234,0.0,0.0,150.0,-0.0045,0.00041,0.0
1763636032.7217052,0.91,0.25234,0.0,0.0,150.0,-0.0027,0.00024,0.0
1763636032.9103894,0.91,0.25234,0.0,0.0,150.0,0.0059,-0.00053,0.0
1763636032.9103894,0.65,0.25234,0.0,0.0,150.0,-0.004,0.00036,0.0
1763636033.0812957,0.91,0.25234,0.0,0.0,150.0,0.0043,-0.00039,0.0
1763636033.0812957,0.91,0.25234,0.0,0.0,150.0,0.0053,-0.00048,0.0
1763636033.2979257,0.91,0.25234,0.0,0.0,150.0,-0.002,0.00018,0.0
1763636033.2979257,0.65,0.25234,0.0,0.0,150.0,0.0088,-0.00079,0.0
1763636033.515687,0.65,0.25234,0.0,0.0,150.0,-0.0024,0.00022,0.0
1763636033.515687,0.65,0.25234,0.0,0.0,150.0,-0.0049,0.00044,0.0
1763636033.694701,0.65,0.25234,0.0,0.0,150.0,-0.0049,0.00044,0.0
1763636033.694701,0.65,0.25234,0.0,0.0,150.0,0.0073,-0.00066,0.0
1763636033.9267228,0.91,0.25234,0.0,0.0,150.0,-0.0069,0.00062,0.0
1763636033.9267228,0.65,0.25234,0.0,0.0,150.0,0.0059,-0.00054,0.0
1763636034.0973437,0.65,0.25234,0.0,0.0,150.0,-0.0019,0.00017,0.0
1763636034.0973437,0.91,0.25234,0.0,0.0,150.0,0.0069,-0.00062,0.0
1763636034.316121,0.65,0.25234,0.0,0.0,150.0,-0.0023,0.0002,0.0
1763636034.3166702,0.91,0.25234,0.0,0.0,150.0,0.0036,-0.00032,0.0
1763636034.5037532,0.91,0.25234,0.0,0.0,150.0,0.0062,-0.00056,0.0
1763636034.5037532,0.65,0.25234,0.0,0.0,150.0,0.0062,-0.00056,0.0
1763636034.7403936,0.65,0.25234,0.0,0.0,150.0,0.0057,-0.00052,0.0
1763636034.7403936,0.91,0.25234,0.0,0.0,150.0,0.0047,-0.00042,0.0
1763636034.9292336,0.65,0.25234,0.0,0.0,150.0,0.0081,-0.00073,0.0
1763636034.9292336,0.65,0.25234,0.0,0.0,150.0,0.0079,-0.00071,0.0
1763636035.1542933,0.91,0.25234,0.0,0.0,150.0,0.0081,-0.00073,0.0
1763636035.1542933,0.65,0.25234,0.0,0.0,150.0,-0.0021,0.00019,0.0
1763636035.3714845,0.65,0.25234,0.0,0.0,150.0,0.0066,-0.00059,0.0
1763636035.3714845,0.91,0.25234,0.0,0.0,150.0,0.0013,-0.00011,0.0
1763636035.523427,0.91,0.25234,0.0,0.0,150.0,0.0068,-0.00061,0.0
1763636035.523427,0.65,0.25234,0.0,0.0,150.0,-0.0023,0.00021,0.0
1763636035.7396843,0.65,0.25234,0.0,0.0,150.0,-0.0032,0.00028,0.0
1763636035.7396843,0.65,0.25234,0.0,0.0,150.0,0.0053,-0.00047,0.0
1763636035.9601712,0.91,0.25234,0.0,0.0,150.0,0.0052,-0.00047,0.0
1763636035.9611824,0.65,0.25234,0.0,0.0,150.0,-0.0032,0.00029,0.0
1763636036.1927664,0.65,0.25234,0.0,0.0,150.0,0.0062,-0.00055,0.0
1763636036.193793,0.91,0.25234,0.0,0.0,150.0,0.0042,-0.00038,0.0
1763636036.3698428,0.65,0.25234,0.0,0.0,150.0,-0.0042,0.00038,0.0
1763636036.3707104,0.65,0.25234,0.0,0.0,150.0,0.0082,-0.00074,0.0
1763636036.5942981,0.65,0.25234,0.0,0.0,150.0,-0.0032,0.00029,0.0
1763636036.5955057,0.91,0.25234,0.0,0.0,150.0,-0.0031,0.00028,0.0
1763636036.8136315,0.65,0.25234,0.0,0.0,150.0,0.0078,-0.0007,0.0
1763636036.8146496,0.65,0.25234,0.0,0.0,150.0,0.0054,-0.00049,0.0
1763636037.0269186,0.65,0.25234,0.0,0.0,150.0,0.0066,-0.00059,0.0
1763636037.0279346,0.65,0.25234,0.0,0.0,150.0,-0.0038,0.00034,0.0
1763636037.194916,0.65,0.25234,0.0,0.0,150.0,0.0067,-0.0006,0.0
1763636037.194916,0.65,0.25234,0.0,0.0,150.0,0.0035,-0.00032,0.0
1763636037.414443,0.65,0.25234,0.0,0.0,150.0,0.0064,-0.00057,0.0
1763636037.414443,0.65,0.25234,0.0,0.0,150.0,0.0041,-0.00037,0.0
1763636037.6291537,0.65,0.25234,0.0,0.0,150.0,0.0066,-0.00059,0.0
1763636037.6291537,0.65,0.25234,0.0,0.0,150.0,0.0067,-0.0006,0.0
1763636037.6301715,0.65,0.25234,0.0,0.0,150.0,0.0066,-0.00059,0.0
1763636037.790419,0.91,0.25234,0.0,0.0,150.0,0.0043,-0.00039,0.0
1763636037.790419,0.91,0.25234,0.0,0.0,150.0,0.0045,-0.0004,0.0
1763636038.0104692,0.91,0.25234,0.0,0.0,150.0,0.0048,-0.00043,0.0
1763636038.0120404,0.65,0.25234,0.0,0.0,150.0,0.0058,-0.00052,0.0
1763636038.2280262,0.65,0.25234,0.0,0.0,150.0,0.0007,-6e-05,0.0
1763636038.2280262,0.65,0.25234,0.0,0.0,150.0,0.008,-0.00072,0.0
1763636038.4597807,0.91,0.25234,0.0,0.0,150.0,0.0057,-0.00051,0.0
1763636038.4597807,0.65,0.25234,0.0,0.0,150.0,0.0066,-0.0006,0.0
1763636038.626934,0.65,0.25234,0.0,0.0,150.0,-0.0025,0.00022,0.0
1763636038.626934,0.65,0.25234,0.0,0.0,150.0,0.0045,-0.00041,0.0
1763636038.83749,0.65,0.25234,0.0,0.0,150.0,0.0069,-0.00062,0.0
1763636038.83749,0.91,0.25234,0.0,0.0,150.0,0.0036,-0.00032,0.0
1763636039.0446527,0.65,0.25234,0.0,0.0,150.0,0.004,-0.00036,0.0
1763636039.0446527,0.91,0.25234,0.0,0.0,150.0,-0.0019,0.00017,0.0
1763636039.2761405,0.65,0.25234,0.0,0.0,150.0,0.0069,-0.00062,0.0
1763636039.2771552,0.91,0.25234,0.0,0.0,150.0,-0.0014,0.00012,0.0
1763636039.497326,0.65,0.25234,0.0,0.0,150.0,0.0064,-0.00058,0.0
1763636039.4984133,0.65,0.25234,0.0,0.0,150.0,-0.0039,0.00035,0.0
1763636039.6756089,0.65,0.25234,0.0,0.0,150.0,0.0051,-0.00046,0.0
1763636039.6765807,0.65,0.25234,0.0,0.0,150.0,0.0049,-0.00044,0.0
1763636039.845388,0.65,0.25234,0.0,0.0,150.0,-0.0039,0.00035,0.0
1763636039.845388,0.65,0.25234,0.0,0.0,150.0,-0.0016,0.00015,0.0
1763636040.0874166,0.91,0.25234,0.0,0.0,150.0,0.0061,-0.00055,0.0
1763636040.0874166,0.65,0.25234,0.0,0.0,150.0,-0.002,0.00018,0.0
1763636040.2585056,0.65,0.25234,0.0,0.0,150.0,-0.0011,0.0001,0.0
1763636040.2587466,0.65,0.25234,0.0,0.0,150.0,0.0055,-0.0005,0.0
1763636040.4686303,0.65,0.25234,0.0,0.0,150.0,-0.0016,0.00014,0.0
1763636040.4686303,0.91,0.25234,0.0,0.0,150.0,0.0066,-0.00059,0.0
1763636040.6907043,0.65,0.25234,0.0,0.0,150.0,0.0081,-0.00073,0.0
1763636040.6917095,0.65,0.25234,0.0,0.0,150.0,-0.0016,0.00014,0.0
1763636040.9227326,0.65,0.25234,0.0,0.0,150.0,-0.0024,0.00022,0.0
1763636040.9227326,0.65,0.25234,0.0,0.0,150.0,0.006,-0.00054,0.0
1763636041.0943718,0.65,0.25234,0.0,0.0,150.0,-0.0027,0.00024,0.0
1763636041.0963876,0.65,0.25234,0.0,0.0,150.0,-0.0022,0.0002,0.0
1763636041.3087435,0.65,0.25234,0.0,0.0,150.0,0.0053,-0.00048,0.0
1763636041.3087435,0.65,0.25234,0.0,0.0,150.0,0.0036,-0.00033,0.0
1763636041.5302248,0.65,0.25234,0.0,0.0,150.0,-0.0025,0.00022,0.0
1763636041.531021,0.65,0.25234,0.0,0.0,150.0,0.0058,-0.00052,0.0
1763636041.695913,0.65,0.25234,0.0,0.0,150.0,0.0047,-0.00043,0.0
1763636041.695913,0.65,0.25234,0.0,0.0,150.0,0.0053,-0.00048,0.0
1763636041.695913,0.65,0.25234,0.0,0.0,150.0,-0.0013,0.00012,0.0
1763636041.9139965,0.65,0.25234,0.0,0.0,150.0,0.0044,-0.00039,0.0
1763636041.9139965,0.91,0.25234,0.0,0.0,150.0,0.0051,-0.00046,0.0
1763636042.1193144,0.65,0.25234,0.0,0.0,150.0,0.0066,-0.00059,0.0
1763636042.1193144,0.91,0.25234,0.0,0.0,150.0,-0.0033,0.00029,0.0
1763636042.3270683,0.65,0.25234,0.0,0.0,150.0,-0.0015,0.00013,0.0
1763636042.3270683,0.65,0.25234,0.0,0.0,150.0,0.0077,-0.00069,0.0
1763636042.5455437,0.65,0.25234,0.0,0.0,150.0,-0.0029,0.00026,0.0
1763636042.5455437,0.65,0.25234,0.0,0.0,150.0,0.0075,-0.00068,0.0
1763636042.73411,0.65,0.25234,0.0,0.0,150.0,0.0053,-0.00048,0.0
1763636042.73411,0.65,0.25234,0.0,0.0,150.0,-0.0045,0.0004,0.0
1763636042.9789486,0.65,0.25234,0.0,0.0,150.0,-0.0015,0.00013,0.0
1763636042.9789486,0.91,0.25234,0.0,0.0,150.0,0.0054,-0.00048,0.0
1763636043.15485,0.65,0.25234,0.0,0.0,150.0,0.0072,-0.00065,0.0
1763636043.15485,0.91,0.25234,0.0,0.0,150.0,0.0073,-0.00066,0.0
1763636043.3609855,0.65,0.25234,0.0,0.0,150.0,0.0068,-0.00061,0.0
1763636043.3630219,0.91,0.25234,0.0,0.0,150.0,0.0061,-0.00055,0.0
1763636043.5390637,0.91,0.25234,0.0,0.0,150.0,0.0058,-0.00052,0.0
1763636043.5390637,0.65,0.25234,0.0,0.0,150.0,0.0076,-0.00068,0.0
1763636043.7536507,0.65,0.25234,0.0,0.0,150.0,0.0062,-0.00056,0.0
1763636043.754751,0.65,0.25234,0.0,0.0,150.0,-0.0012,0.00011,0.0
1763636043.964953,0.65,0.25234,0.0,0.0,150.0,0.0069,-0.00062,0.0
1763636043.9659722,0.65,0.25234,0.0,0.0,150.0,0.0056,-0.00051,0.0
1763636044.142765,0.91,0.25234,0.0,0.0,150.0,0.0055,-0.00049,0.0
1763636044.142765,0.65,0.25234,0.0,0.0,150.0,0.0052,-0.00047,0.0
1763636044.3739257,0.65,0.25234,0.0,0.0,150.0,0.006,-0.00054,0.0
1763636044.3739257,0.65,0.25234,0.0,0.0,150.0,0.0035,-0.00031,0.0
1763636044.5916674,0.65,0.25234,0.0,0.0,150.0,-0.0019,0.00017,0.0
1763636044.5916674,0.91,0.25234,0.0,0.0,150.0,0.0034,-0.0003,0.0
1763636044.771752,0.65,0.25234,0.0,0.0,150.0,0.0064,-0.00058,0.0
1763636044.771752,0.65,0.25234,0.0,0.0,150.0,0.008,-0.00072,0.0
1763636045.01092,0.91,0.25234,0.0,0.0,150.0,0.0045,-0.00041,0.0
1763636045.01092,0.91,0.25234,0.0,0.0,150.0,0.0044,-0.00039,0.0
1763636045.1943915,0.91,0.25234,0.0,0.0,150.0,0.0055,-0.0005,0.0
1763636045.1943915,0.91,0.25234,0.0,0.0,150.0,0.0047,-0.00042,0.0
1763636045.4306803,0.91,0.25234,0.0,0.0,150.0,-0.0018,0.00017,0.0
1763636045.4306803,0.65,0.25234,0.0,0.0,150.0,-0.0039,0.00035,0.0
1763636045.4306803,0.91,0.25234,0.0,0.0,150.0,0.0073,-0.00066,0.0
1763636045.6665874,0.65,0.25234,0.0,0.0,150.0,-0.0004,3e-05,0.0
1763636045.6665874,0.91,0.25234,0.0,0.0,150.0,0.0064,-0.00058,0.0
1763636045.8318603,0.65,0.25234,0.0,0.0,150.0,0.0065,-0.00059,0.0
1763636045.8318603,0.91,0.25234,0.0,0.0,150.0,-0.0037,0.00034,0.0
1763636046.0670686,0.65,0.25234,0.0,0.0,150.0,0.0085,-0.00076,0.0
1763636046.0670686,0.65,0.25234,0.0,0.0,150.0,0.0036,-0.00033,0.0
1763636046.2555988,0.65,0.25234,0.0,0.0,150.0,0.007,-0.00063,0.0
1763636046.2555988,0.65,0.25234,0.0,0.0,150.0,0.005,-0.00045,0.0
1763636046.4910579,0.65,0.25234,0.0,0.0,150.0,-0.0006,5e-05,0.0
1763636046.4910579,0.65,0.25234,0.0,0.0,150.0,0.0074,-0.00066,0.0
1763636046.6824343,0.65,0.25234,0.0,0.0,150.0,-0.001,9e-05,0.0
1763636046.6824343,0.65,0.25234,0.0,0.0,150.0,0.0069,-0.00062,0.0
1763636046.8530862,0.65,0.25234,0.0,0.0,150.0,0.0076,-0.00069,0.0
1763636046.8530862,0.91,0.25234,0.0,0.0,150.0,0.0073,-0.00066,0.0
1763636047.088702,0.65,0.25234,0.0,0.0,150.0,0.0039,-0.00035,0.0
1763636047.088702,0.91,0.25234,0.0,0.0,150.0,0.0055,-0.00049,0.0
1763636047.319896,0.65,0.25234,0.0,0.0,150.0,0.0052,-0.00046,0.0
1763636047.3207452,0.91,0.25234,0.0,0.0,150.0,0.0048,-0.00043,0.0
1763636047.487656,0.65,0.25234,0.0,0.0,150.0,0.0057,-0.00051,0.0
1763636047.487656,0.65,0.25234,0.0,0.0,150.0,-0.0021,0.00019,0.0
1763636047.7207487,0.65,0.25234,0.0,0.0,150.0,-0.002,0.00018,0.0
1763636047.7217731,0.65,0.25234,0.0,0.0,150.0,-0.0022,0.0002,0.0
1763636047.9379187,0.65,0.25234,0.0,0.0,150.0,0.0053,-0.00047,0.0
1763636047.9379187,0.65,0.25234,0.0,0.0,150.0,0.0065,-0.00058,0.0
1763636048.1120722,0.65,0.25234,0.0,0.0,150.0,0.0059,-0.00053,0.0
1763636048.1125307,0.91,0.25234,0.0,0.0,150.0,-0.0004,3e-05,0.0
1763636048.1125307,0.65,0.25234,0.0,0.0,150.0,0.0046,-0.00041,0.0
1763636048.3365893,0.91,0.25234,0.0,0.0,150.0,0.0061,-0.00055,0.0
1763636048.3365893,0.91,0.25234,0.0,0.0,150.0,0.0042,-0.00038,0.0
1763636048.556475,0.91,0.25234,0.0,0.0,150.0,0.006,-0.00054,0.0
1763636048.556475,0.91,0.25234,0.0,0.0,150.0,0.0059,-0.00053,0.0
1763636048.7349405,0.65,0.25234,0.0,0.0,150.0,0.0059,-0.00053,0.0
1763636048.7349405,0.65,0.25234,0.0,0.0,150.0,0.0065,-0.00058,0.0
1763636048.9406698,0.91,0.25234,0.0,0.0,150.0,0.0038,-0.00035,0.0
1763636048.9416668,0.65,0.25234,0.0,0.0,150.0,-0.0023,0.00021,0.0
1763636049.1560156,0.65,0.25234,0.0,0.0,150.0,0.0048,-0.00044,0.0
1763636049.1560156,0.91,0.25234,0.0,0.0,150.0,0.0059,-0.00053,0.0
1763636049.3223612,0.65,0.25234,0.0,0.0,150.0,0.0039,-0.00035,0.0
1763636049.3223612,0.91,0.25234,0.0,0.0,150.0,0.0061,-0.00055,0.0
1763636049.539553,0.91,0.25234,0.0,0.0,150.0,0.0055,-0.00049,0.0
1763636049.5403278,0.65,0.25234,0.0,0.0,150.0,-0.0038,0.00034,0.0
1763636049.7785995,0.91,0.25234,0.0,0.0,150.0,0.0049,-0.00044,0.0
1763636049.7785995,0.65,0.25234,0.0,0.0,150.0,0.0073,-0.00066,0.0
1763636049.9495835,0.65,0.25234,0.0,0.0,150.0,-0.0007,7e-05,0.0
1763636049.9505796,0.65,0.25234,0.0,0.0,150.0,0.0054,-0.00049,0.0
1763636050.1828997,0.91,0.25234,0.0,0.0,150.0,-0.001,9e-05,0.0
1763636050.1828997,0.91,0.25234,0.0,0.0,150.0,0.0064,-0.00058,0.0
1763636050.3658323,0.65,0.25234,0.0,0.0,150.0,-0.0023,0.00021,0.0
1763636050.3658323,0.65,0.25234,0.0,0.0,150.0,0.0064,-0.00057,0.0
1763636050.5851226,0.65,0.25234,0.0,0.0,150.0,-0.0028,0.00025,0.0
1763636050.5851226,0.65,0.25234,0.0,0.0,150.0,0.0083,-0.00075,0.0
1763636050.8170636,0.65,0.25234,0.0,0.0,150.0,0.007,-0.00063,0.0
1763636050.8178217,0.65,0.25234,0.0,0.0,150.0,0.0053,-0.00048,0.0
1763636050.984441,0.65,0.25234,0.0,0.0,150.0,0.0053,-0.00048,0.0
1763636050.984441,0.65,0.25234,0.0,0.0,150.0,0.0057,-0.00051,0.0
1763636051.2008834,0.65,0.25234,0.0,0.0,150.0,-0.0005,4e-05,0.0
1763636051.2008834,0.91,0.25234,0.0,0.0,150.0,0.0049,-0.00044,0.0
1763636051.4090884,0.65,0.25234,0.0,0.0,150.0,0.0067,-0.0006,0.0
1763636051.4090884,0.65,0.25234,0.0,0.0,150.0,-0.0018,0.00016,0.0
1763636051.6362042,0.91,0.25234,0.0,0.0,150.0,-0.0038,0.00035,0.0
1763636051.6362042,0.91,0.25234,0.0,0.0,150.0,-0.0032,0.00028,0.0
1763636051.7978637,0.65,0.25234,0.0,0.0,150.0,-0.0025,0.00022,0.0
1763636051.7978637,0.65,0.25234,0.0,0.0,150.0,0.0052,-0.00047,0.0
1763636051.7978637,0.65,0.25234,0.0,0.0,150.0,0.0055,-0.0005,0.0
1763636052.0309076,0.91,0.25234,0.0,0.0,150.0,-0.001,9e-05,0.0
1763636052.0309076,0.65,0.25234,0.0,0.0,150.0,0.0072,-0.00065,0.0
1763636052.2344048,0.65,0.25234,0.0,0.0,150.0,0.0065,-0.00059,0.0
